       pos     val_AA     val_AC     val_AG     val_AT     val_CA     val_CC     val_CG     val_CT     val_GA     val_GC     val_GG     val_GT     val_TA     val_TC     val_TG     val_TT
        37   0.019397   0.000802   0.021299  -0.016176  -0.023681   0.003942  -0.039825  -0.025712  -0.010845   0.009043   0.049763   0.008132   0.013105   0.004484   0.003383  -0.017114
        38  -0.070359   0.007655   0.048171   0.012511   0.011800  -0.044103  -0.004637   0.055213  -0.036191   0.017152   0.018440   0.035218  -0.010958  -0.008327   0.044862  -0.076445
        39  -0.026160   0.020291  -0.068524  -0.031317  -0.004283   0.000812  -0.015789  -0.008362  -0.032120   0.091893   0.037302   0.009759   0.010746  -0.079689   0.004493   0.090947
        40  -0.013143   0.007728  -0.063183   0.016781  -0.022615   0.096431  -0.079314   0.038805  -0.023989  -0.019129  -0.017749   0.018350  -0.059483  -0.036149   0.132054   0.024606
        41  -0.101989   0.027937  -0.031424  -0.013754  -0.036858   0.023169   0.038767   0.023804   0.098121  -0.008497  -0.117950   0.000134   0.032441  -0.045012   0.069176   0.041937
        42  -0.065788   0.090943  -0.066922   0.033481   0.056803  -0.021329  -0.039478   0.001600  -0.002737   0.014755  -0.055036   0.001587   0.022408  -0.069015   0.086300   0.012428
        43  -0.024106   0.036221  -0.020991   0.019563   0.043731  -0.026809  -0.015403   0.013836  -0.031732  -0.010022  -0.052708   0.019327   0.046224  -0.000259   0.043479  -0.040349
        44   0.027731   0.003467  -0.000763   0.003682   0.044151  -0.048037  -0.006531   0.009548  -0.008707  -0.024506   0.004613  -0.017024  -0.017955  -0.020610  -0.020921   0.071863
        45   0.015641  -0.044417   0.065398   0.008597  -0.009944  -0.025641  -0.037370  -0.016731  -0.022780   0.010059  -0.012855   0.001974   0.032219  -0.022799   0.058774  -0.000124
        46  -0.001594  -0.025689   0.047151  -0.004731  -0.002739   0.005844  -0.094696   0.008792   0.008271   0.040466  -0.008075   0.033286   0.002408  -0.007050   0.001578  -0.003221
        47   0.008724   0.021441  -0.028780   0.004961   0.002758  -0.010493   0.035956  -0.014650  -0.033900  -0.016993  -0.006153   0.003003   0.005617   0.017371   0.023355  -0.012217
        48  -0.013249  -0.004815  -0.015402   0.016663  -0.004555  -0.029847  -0.001603   0.047332  -0.023840  -0.008150  -0.028587   0.084953   0.030969  -0.026765   0.011750  -0.034856
        49  -0.035653   0.005484   0.017789   0.001705  -0.025457   0.011904  -0.064215   0.008192  -0.037406  -0.043773   0.048022  -0.000685   0.049568   0.016451   0.029302   0.018771
        50  -0.038852  -0.060378   0.028853   0.021430  -0.010401  -0.008989  -0.001255   0.010711   0.008281   0.054091  -0.012343  -0.019130   0.024871   0.002153   0.012874  -0.011914
        51  -0.005493   0.043046  -0.031998  -0.021657   0.013430  -0.002182  -0.033378   0.009007   0.001977   0.010471   0.012880   0.002801  -0.004763  -0.012955   0.024403  -0.005589
        52   0.005478   0.003910  -0.008859   0.004623   0.004237   0.008009   0.010060   0.016075  -0.041608  -0.015867   0.019336   0.010045   0.008616  -0.040515   0.020270  -0.003809
        53   0.033854  -0.025712  -0.043257   0.011837  -0.040884   0.007791  -0.011828   0.000458   0.032308   0.011858  -0.002658  -0.000701   0.005214   0.014303  -0.000884   0.008300
        54  -0.040588  -0.001393   0.038480   0.033994   0.011210  -0.009519  -0.004562   0.011111   0.000493  -0.006016  -0.045768  -0.007336   0.010195   0.007739  -0.000647   0.002607
        55  -0.001926  -0.004559  -0.008647  -0.003557  -0.003537  -0.006236  -0.006223   0.006808  -0.000129  -0.000594  -0.013972   0.002196  -0.007397   0.008616  -0.017658   0.056815
        56   0.028358  -0.042564  -0.004016   0.005233  -0.006871   0.007902  -0.008615   0.004811  -0.010514  -0.025538  -0.000128  -0.010320   0.038245   0.013520  -0.009622   0.020119
        57  -0.048665   0.027382   0.004162   0.066338  -0.012164  -0.040175  -0.023834   0.029494  -0.021963  -0.004430  -0.014980   0.018991  -0.002926  -0.017470   0.008639   0.031601
        58  -0.048510  -0.014074  -0.002430  -0.020704  -0.001003  -0.021460   0.010440  -0.022670   0.010570  -0.011119   0.002730  -0.028195   0.031876   0.009279   0.073655   0.031614
        59  -0.012393  -0.034162  -0.015949   0.055437  -0.015081  -0.019764   0.005191  -0.007720   0.022862   0.009560   0.025884   0.026089  -0.007751  -0.046595   0.034682  -0.020291
        60  -0.009757  -0.003416   0.008254  -0.007444  -0.037068  -0.033293  -0.029842   0.009241   0.042773   0.000011   0.000770   0.006253   0.006454  -0.042553   0.114617  -0.025001
        61  -0.050911   0.007754   0.003193   0.042367  -0.048419  -0.009009  -0.033944   0.012122   0.013539   0.034075  -0.004388   0.050574  -0.002551  -0.052403   0.026786   0.011217
        62  -0.005731  -0.047758  -0.020597  -0.014257  -0.018121   0.045460  -0.014751  -0.032172  -0.014261   0.024213  -0.039743   0.021437   0.188185  -0.011738  -0.019310  -0.040857
        63   0.055667   0.033637   0.005746   0.055024  -0.021948  -0.029300   0.017360   0.044067  -0.051713   0.006686  -0.080463   0.031089   0.125135  -0.060768  -0.060579  -0.069639
        64   0.055096  -0.007854  -0.020501   0.080399   0.009729  -0.020944   0.008609  -0.047139  -0.068154   0.021552  -0.077478   0.006145   0.014567   0.015868   0.032357  -0.002251
        65   0.035999   0.003772  -0.011636  -0.016897   0.008397  -0.005008  -0.004283   0.009516   0.015952  -0.068118   0.006470  -0.011318   0.062010   0.002230  -0.018666  -0.008421
        66   0.006312   0.062632   0.028572   0.024842   0.021171  -0.032902  -0.036622  -0.018770   0.003778   0.007667  -0.019065  -0.020495   0.016039  -0.020739   0.016422  -0.038842
        67  -0.000472  -0.030273  -0.042767   0.120813  -0.043011  -0.003431  -0.000568   0.063668  -0.020753  -0.014721   0.012642   0.012139  -0.002390  -0.040602  -0.024786   0.014514
        68  -0.017883  -0.052544  -0.041396   0.045197  -0.037066   0.035416  -0.063416  -0.023960  -0.011319  -0.011262  -0.064555   0.031657   0.100962   0.009345   0.079179   0.021648
        69   0.046348  -0.058188   0.030855   0.015676   0.022072  -0.014101  -0.038333   0.011317  -0.006268  -0.057898  -0.023858  -0.002163   0.033062   0.011037   0.004522   0.025918
